"filename", "language", "PHP", "CSS", "XML", "JSON", "SQL", "comment", "blank", "total"
"d:\xampp\htdocs\mat-manager\ALL\CRUD\EditUser.php", "PHP", 36, 0, 0, 0, 0, 1, 19, 56
"d:\xampp\htdocs\mat-manager\ALL\CRUD\deletePedido.php", "PHP", 18, 0, 0, 0, 0, 0, 2, 20
"d:\xampp\htdocs\mat-manager\ALL\CRUD\deleteProveedores.php", "PHP", 18, 0, 0, 0, 0, 0, 3, 21
"d:\xampp\htdocs\mat-manager\ALL\CRUD\deleteUser.php", "PHP", 18, 0, 0, 0, 0, 0, 3, 21
"d:\xampp\htdocs\mat-manager\ALL\CRUD\editPedido.php", "PHP", 59, 0, 0, 0, 0, 1, 18, 78
"d:\xampp\htdocs\mat-manager\ALL\CRUD\editar.php", "PHP", 35, 0, 0, 0, 0, 0, 15, 50
"d:\xampp\htdocs\mat-manager\ALL\CRUD\editarProveedores.php", "PHP", 34, 0, 0, 0, 0, 1, 10, 45
"d:\xampp\htdocs\mat-manager\ALL\CRUD\eliminar.php", "PHP", 18, 0, 0, 0, 0, 1, 6, 25
"d:\xampp\htdocs\mat-manager\ALL\CRUD\update.php", "PHP", 15, 0, 0, 0, 0, 0, 5, 20
"d:\xampp\htdocs\mat-manager\ALL\CRUD\updatePedidos.php", "PHP", 14, 0, 0, 0, 0, 0, 4, 18
"d:\xampp\htdocs\mat-manager\ALL\CRUD\updateProveedores.php", "PHP", 0, 0, 0, 0, 0, 0, 1, 1
"d:\xampp\htdocs\mat-manager\ALL\CRUD\updateUser.php", "PHP", 17, 0, 0, 0, 0, 0, 4, 21
"d:\xampp\htdocs\mat-manager\ALL\admin\index.php", "PHP", 3, 0, 0, 0, 0, 0, 6, 9
"d:\xampp\htdocs\mat-manager\ALL\base de datos\mat-manager.sql", "SQL", 0, 0, 0, 0, 196, 103, 58, 357
"d:\xampp\htdocs\mat-manager\ALL\bodeguero\index.php", "PHP", 29, 0, 0, 0, 0, 0, 0, 29
"d:\xampp\htdocs\mat-manager\ALL\composer.json", "JSON", 0, 0, 0, 10, 0, 0, 1, 11
"d:\xampp\htdocs\mat-manager\ALL\composer.lock", "JSON", 0, 0, 0, 1650, 0, 0, 1, 1651
"d:\xampp\htdocs\mat-manager\ALL\con_db.php", "PHP", 3, 0, 0, 0, 0, 0, 1, 4
"d:\xampp\htdocs\mat-manager\ALL\gerente\index.php", "PHP", 29, 0, 0, 0, 0, 0, 6, 35
"d:\xampp\htdocs\mat-manager\ALL\historial\historial.php", "PHP", 13, 0, 0, 0, 0, 0, 7, 20
"d:\xampp\htdocs\mat-manager\ALL\historial\historialMateriales.php", "PHP", 110, 0, 0, 0, 0, 4, 18, 132
"d:\xampp\htdocs\mat-manager\ALL\historial\historialPedidos.php", "PHP", 109, 0, 0, 0, 0, 4, 20, 133
"d:\xampp\htdocs\mat-manager\ALL\historial\historialProveedores.php", "PHP", 112, 0, 0, 0, 0, 4, 15, 131
"d:\xampp\htdocs\mat-manager\ALL\historial\historialUsuarios.php", "PHP", 116, 0, 0, 0, 0, 4, 15, 135
"d:\xampp\htdocs\mat-manager\ALL\images\pen-to-square-solid.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"d:\xampp\htdocs\mat-manager\ALL\index.php", "PHP", 27, 0, 0, 0, 0, 0, 9, 36
"d:\xampp\htdocs\mat-manager\ALL\matmanager.php", "PHP", 33, 0, 0, 0, 0, 5, 7, 45
"d:\xampp\htdocs\mat-manager\ALL\logout.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 5
"d:\xampp\htdocs\mat-manager\ALL\materiales\registerMateriales.php", "PHP", 98, 0, 0, 0, 0, 2, 19, 119
"d:\xampp\htdocs\mat-manager\ALL\pedidos\RegistrarPedido.php", "PHP", 108, 0, 0, 0, 0, 2, 26, 136
"d:\xampp\htdocs\mat-manager\ALL\proveedores\RegisterProveedores.php", "PHP", 94, 0, 0, 0, 0, 2, 20, 116
"d:\xampp\htdocs\mat-manager\ALL\src\UsersTest.php", "PHP", 41, 0, 0, 0, 0, 3, 7, 51
"d:\xampp\htdocs\mat-manager\ALL\src\test.php", "PHP", 41, 0, 0, 0, 0, 4, 7, 52
"d:\xampp\htdocs\mat-manager\ALL\styles\style.css", "CSS", 0, 163, 0, 0, 0, 9, 39, 211
"d:\xampp\htdocs\mat-manager\ALL\tables\MaterialsTable.php", "PHP", 115, 0, 0, 0, 0, 4, 21, 140
"d:\xampp\htdocs\mat-manager\ALL\tables\TablaPedidos.php", "PHP", 113, 0, 0, 0, 0, 4, 21, 138
"d:\xampp\htdocs\mat-manager\ALL\tables\TablaProveedores.php", "PHP", 119, 0, 0, 0, 0, 4, 16, 139
"d:\xampp\htdocs\mat-manager\ALL\tables\recuperarUsuarios.php", "PHP", 122, 0, 0, 0, 0, 4, 14, 140
"d:\xampp\htdocs\mat-manager\ALL\templates\footer.php", "PHP", 7, 0, 0, 0, 0, 0, 8, 15
"d:\xampp\htdocs\mat-manager\ALL\templates\header.php", "PHP", 60, 0, 0, 0, 0, 2, 4, 66
"d:\xampp\htdocs\mat-manager\ALL\tests\TestUser.php", "PHP", 28, 0, 0, 0, 0, 6, 13, 47
"d:\xampp\htdocs\mat-manager\ALL\tests\UsuariosTests.php", "PHP", 28, 0, 0, 0, 0, 3, 12, 43
"d:\xampp\htdocs\mat-manager\ALL\users\register.php", "PHP", 72, 0, 0, 0, 0, 3, 20, 95
"d:\xampp\htdocs\mat-manager\ALL\validaciones\validarMateriales.php", "PHP", 38, 0, 0, 0, 0, 0, 3, 41
"d:\xampp\htdocs\mat-manager\ALL\validaciones\validarPedidos.php", "PHP", 32, 0, 0, 0, 0, 0, 0, 32
"d:\xampp\htdocs\mat-manager\ALL\validaciones\validarProveedor.php", "PHP", 38, 0, 0, 0, 0, 0, 3, 41
"d:\xampp\htdocs\mat-manager\ALL\validaciones\validarUsuarios.php", "PHP", 50, 0, 0, 0, 0, 0, 3, 53
"Total", "-", 2075, 163, 1, 1660, 196, 180, 510, 4785
